"Date","NVDA","GOOG","MSFT","META","TSM","ORCL","PLTR","SMCI","EQIX","TSLA","ISRG","AMZN"
"2021-01-22",13.6733045578003,94.2784881591797,216.314300537109,272.362579345703,118.417778015137,56.170783996582,32.5800018310547,3.4210000038147,651.415588378906,282.213317871094,248.026672363281,164.61149597168
"2021-01-25",13.6142253875732,94.196662902832,219.741607666016,275.845336914062,119.683219909668,56.6733055114746,36.2299995422363,3.47000002861023,653.222106933594,293.600006103516,250.669998168945,164.699996948242
"2021-01-26",13.3968496322632,95.0813903808594,222.42219543457,279.853851318359,116.134536743164,57.5108375549316,35.3699989318848,3.37899994850159,664.133911132812,294.363342285156,256.549987792969,166.306503295898
"2021-01-27",12.8808250427246,90.7940979003906,222.967880249023,270.021026611328,111.632202148438,58.2087898254395,39,3.22399997711182,660.936218261719,288.053344726562,252.910003662109,161.628997802734
"2021-01-28",13.0136957168579,92.3969345092773,228.740737915039,262.936645507812,115.382598876953,56.9710922241211,35.6599998474121,3.1800000667572,666.834838867188,278.476654052734,255.119995117188,161.880996704102
"2021-01-29",12.9526195526123,91.0395812988281,222.068008422852,256.318542480469,111.430465698242,56.2359237670898,35.1800003051758,3.09999990463257,668.3974609375,264.510009765625,249.213333129883,160.309997558594
"2021-02-01",13.1991682052612,94.293342590332,229.430023193359,259.969909667969,116.143714904785,57.240966796875,33.9599990844727,3.15400004386902,683.536499023438,279.936676025391,248.703338623047,167.143997192383
"2021-02-02",13.5180025100708,95.5907135009766,229.296020507812,265.000335693359,117.775909423828,58.0412826538086,31.0200004577637,3.17499995231628,694.240539550781,290.929992675781,252.613327026367,169
"2021-02-03",13.4918251037598,102.660667419434,232.63720703125,264.573760986328,116.913948059082,57.8551597595215,31.7600002288818,3.30299997329712,681.883483886719,284.896667480469,248.466659545898,165.626495361328
"2021-02-04",13.6251945495605,102.278793334961,231.689392089844,264.414978027344,117.509994506836,58.9532585144043,32.0499992370605,3.28999996185303,674.675170898438,283.329986572266,252.350006103516,166.550003051758
