Recorder,Box,Tube size,Tube,Week of first fill,Week #,Fill type,Notes on any changes in fill,Anomalies - when a change might just be a mistake
Sophia,E1L,sm,7-blue,7/19,6,GR,,
Sophia,E1L,sm,8-lav,,,E,,
Sophia,E1L,sm,9-blue_stripe,8/24,11,silk,,
Sophia,E1L,sm,10-red_yell,8/10,9,silk,,
Sophia,GH,lg,1-mag,,,E,,
Sophia,GH,lg,2-yel,7/19,6,LM,,
Sophia,GH,lg,3-teal,7/26,7,LM-dp,,
Sophia,GH,lg,4-red,,,E,,
Sophia,GH,lg,5-green,7/19,6,LM,,
Sophia,GH,lg,6-red_stripe,7/19,6,LM,,
Sophia,GH,lg,7-blue,7/26,7,LM,,
Sophia,GH,lg,8-lav,,,E,,
Sophia,GH,lg,9-blue_stripe,7/26,,LM,,
Sophia,GH,lg,10-red_yell,7/19,6,LM,,
Sophia,GH,sm,1-mag,,,E,,
Sophia,GH,sm,2-yel,7/26,7,LM,,
Sophia,GH,sm,3-teal,,,E,7/26 something,
Sophia,GH,sm,4-red,7/19,6,LM/DM,variation to LM and LM-DIFF,
Sophia,GH,sm,5-green,8/2,8,LM,,
Sophia,GH,sm,6-red_stripe,,,E,,
Sophia,GH,sm,7-blue,,,E,,
Sophia,GH,sm,8-lav,8/2,8,LM,changes to LM-dp,
Sophia,GH,sm,9-blue_stripe,8/2,8,LM,,
Sophia,GH,sm,10-red_yell,,,E,,
Sophia,ISC,lg,1-mag,6/7,2,silk,,
Sophia,ISC,lg,2-yel,,,E,,
Sophia,ISC,lg,3-teal,,,E,,
Sophia,ISC,lg,4-red,,,E,,
Sophia,ISC,lg,5-green,7/19,6,silk,8/30 dissipates,
Sophia,ISC,lg,6-red_stripe,,,E,,
Sophia,ISC,lg,7-blue,,,E,,
Sophia,ISC,lg,8-lav,,,E,,
Sophia,ISC,lg,9-blue_stripe,8/10,9,silk,intermittent,
Sophia,ISC,lg,10-red_yell,,,E,,
Sophia,ISC,sm,1-mag,8/30,12,silk,dissipates at 9/6,
Sophia,ISC,sm,2-yel,,,E,,
Sophia,ISC,sm,3-teal,,,E,,
Sophia,ISC,sm,4-red,,,E,,
Sophia,ISC,sm,5-green,,,E,,
Sophia,ISC,sm,6-red_stripe,8/16,10,silk,dissipates at 9/20,
Sophia,ISC,sm,7-blue,,,E,,
Sophia,ISC,sm,8-lav,,,E,,
Sophia,ISC,sm,9-blue_stripe,,,E,,
Sophia,ISC,sm,10-red_yell,,,E,,
Sophia,N2L,lg,1-mag,8/2,8,DM,,
Sophia,N2L,lg,2-yel,8/2,8,DM,,
Sophia,N2L,lg,3-teal,8/2,8,DM,,
Sophia,N2L,lg,4-red,8/2,8,DM,,
Sophia,N2L,lg,5-green,7/19,6,LM,"8/10 LM-lghole, 8/16 DM",
Sophia,N2L,lg,6-red_stripe,7/12,5,LM,8/10 DM,
Sophia,N2L,lg,7-blue,8/2,8,DM,,
Sophia,N2L,lg,8-lav,8/10,9,DM,,
Sophia,N2L,lg,9-blue_stripe,8/10,9,DM,,
Sophia,N2L,lg,10-red_yell,7/12,5,LM,"hole at 7/19 and 7/26, DM at 8/2",
Sophia,N2L,sm,1-mag,7/12,5,LM,"hole at 7/26-8/16, DM at 8/24",
Sophia,N2L,sm,2-yel,7/26,7,DM,,
Sophia,N2L,sm,3-teal,7/26,7,DM,,
Sophia,N2L,sm,4-red,7/26,7,debris,DM developed between 8/2 and 8/16,
Sophia,N2L,sm,5-green,7/12,5,LM,,
Sophia,N2L,sm,6-red_stripe,8/30,12,DM,,
Sophia,N2L,sm,7-blue,,,E,,
Sophia,N2L,sm,8-lav,6/21,4,LM,small hole at 7/12 becomes lare hole becomes DM at 8/24,E at 8/10?
Sophia,N2L,sm,9-blue_stripe,7/12,5,LM,,
Sophia,N2L,sm,10-red_yell,8/2,8,DM,,
