state,year,quarter,DebtValue,Median_H_Inc,mean_AGI,MinWage,HPI,Delinquency_pct,Mean_Mpct,Med_Mpct,mean_CPI,ForeclosureRate,DTI_ratio,time
CA,2004,3,55.98258573314777,78207.5,61986.75,6.75,184.60750000000002,1.198227180010199,0.3580773847251709,0.36141576362557304,195.93333333333334,0.03,2.253702481267757,2004-07-01
CA,2004,4,57.68119045070121,77690,63246,6.75,192.93,1.1583161346201436,0.37995499432663216,0.38421675605931715,196.6,0.03,2.1295990419892337,2004-10-01
CA,2005,1,59.52914399516341,78112.5,64282.25,6.75,205.4575,1.1559314773881355,0.4018326039280934,0.4070177484930612,199.33333333333331,0.04,2.0412670749164623,2005-01-01
CA,2005,2,61.84467744801848,78535,65318.5,6.75,217.985,1.037392816091954,0.45909885712101595,0.45815262930641043,200.56666666666666,0.03,1.944127378849825,2005-04-01
CA,2005,3,64.16722906972615,78957.5,66354.75,6.75,230.5125,1.1886989759202877,0.5163651103139385,0.5092875101197597,202.9,0.03,1.8544199300765192,2005-07-01
CA,2005,4,66.42935571848545,79380,67391,6.75,243.04,1.099375899760064,0.5736313635068611,0.5604223909331089,202.73333333333335,0.03,1.7731650126837126,2005-10-01
CA,2006,1,70.33718212084722,80150,68071.25,6.75,249.39499999999998,1.1572025781761417,0.6308976166997836,0.6115572717464581,206.4,0.04,1.6739976176111215,2006-01-01
CA,2006,2,73.329802259887,80920,68751.5,6.75,255.75,1.0189169836760243,1.112075534401322,1.0500060148516064,209.46666666666667,0.05,1.6050670610162214,2006-04-01
CA,2006,3,76.48178166185073,81690,69431.75,6.75,262.10499999999996,1.2587883800221158,1.5932534521028603,1.4884547579567549,211.06666666666666,0.06,1.5383416128276577,2006-07-01
CA,2006,4,77.7914715306877,82460,70112,6.75,268.46,1.492109949302915,2.074431369804399,1.9269035010619033,210.1,0.08,1.5118857989447554,2006-10-01
CA,2007,1,79.54353338968723,82095,69528.75,6.9375,265.41499999999996,1.856098476797733,2.5556092875059373,2.3653522441670516,213.964,0.11,1.4843879042001353,2007-01-01
CA,2007,2,81.29745617411386,81730,68945.5,7.125,262.37,2.35763450116209,3.620289954702167,3.417898271559605,216.302,0.13,1.4581379622124657,2007-04-01
CA,2007,3,83.22634663689645,81365,68362.25,7.3125,259.325,3.267774731723675,4.6849706218983975,4.4704442989521596,216.63833333333335,0.2,1.430080384175849,2007-07-01
CA,2007,4,86.4566371681416,81000,67779,7.5,256.28,4.425072510645267,5.749651289094627,5.522990326344713,218.94133333333335,0.23,1.3822656722342062,2007-10-01
CA,2008,1,88.00601309996779,80732.5,67556,7.625,243.61749999999998,5.8670263136489345,6.814331956290856,6.575536353737267,221.64866666666666,0.34,1.3579135671648266,2008-01-01
CA,2008,2,87.78074673214415,80465,67333,7.75,230.95499999999998,6.148563307280954,8.168717488884411,8.061484767481277,227.42733333333334,0.42,1.3613812971028774,2008-04-01
CA,2008,3,87.80267763703944,80197.5,67110,7.875,218.2925,7.039342690394969,9.523103021477965,9.547433181225287,226.86833333333334,0.4,1.3610241488242354,2008-07-01
CA,2008,4,86.52676289550412,79930,66887,8,205.63,8.273665238372576,10.877488554071519,11.033381594969297,220.24266666666668,0.22,1.3810761934012932,2008-10-01
CA,2009,1,85.84803354540196,79700,65773.75,8,197.82,10.587222493578677,12.231874086665073,12.519330008713307,222.75966666666667,0.43,1.4114820728355602,2009-01-01
CA,2009,2,85.1262388772336,79470,64660.5,8,190.01,12.307114217727543,12.042745966416726,12.196361668384691,225.61833333333334,0.5,1.4437789613974679,2009-04-01
